ID;Vertice;N;E
1;F99-P-1133;8152112,79;675863,03
2;F99-M-0217;8152107,75;675868,93
3;F99-M-0218;8151966,24;675977,50
4;F99-M-0219;8151095,91;676651,98
5;F99-M-0226;8151056,03;677631,29
6;F99-M-0227;8151055,23;677646,07
7;F99-M-0228;8151049,87;677797,09
8;F99-M-0229;8151047,04;677857,87
9;F99-M-0220;8151037,94;678037,73
10;F99-P-1134;8151038,61;678042,63
11;F99-P-1135;8151035,90;678048,49
12;F99-P-1136;8151031,81;678053,36
13;F99-P-1137;8151035,56;678065,63
14;F99-P-1138;8151025,77;678067,30
15;F99-P-1139;8151016,73;678063,26
16;F99-P-1140;8150998,45;678075,43
17;F99-P-1141;8150976,87;678070,24
18;F99-P-1142;8150970,97;678063,49
19;F99-P-1143;8150971,03;678047,37
20;F99-P-1144;8150957,16;678043,26
21;F99-P-1145;8150950,26;678036,11
22;F99-P-1146;8150954,15;678028,31
23;F99-P-1147;8150945,51;678011,95
24;F99-P-1148;8150928,15;678002,11
25;F99-P-1149;8150921,77;678010,62
26;F99-P-1150;8150924,00;678024,43
27;F99-P-1151;8150906,73;678025,54
28;F99-P-1152;8150906,65;678015,70
29;F99-P-1153;8150891,71;678008,42
30;F99-P-1154;8150882,05;678015,12
31;F99-P-1155;8150873,56;678013,74
32;F99-P-1156;8150864,09;678007,48
33;F99-P-1157;8150857,00;678013,81
34;F99-P-1158;8150840,37;678007,34
35;F99-P-1159;8150832,46;677999,46
36;F99-P-1160;8150830,65;677986,33
37;F99-P-1161;8150819,60;677982,69
38;F99-P-1162;8150803,74;677985,49
39;F99-P-1163;8150790,78;677978,97
40;F99-P-1164;8150784,11;677970,07
41;F99-P-1165;8150771,51;677971,57
42;F99-P-1166;8150754,73;677967,39
43;F99-P-1167;8150735,15;677968,59
44;F99-P-1168;8150726,31;677960,29
45;F99-P-1169;8150704,39;677963,14
46;F99-P-1170;8150695,39;677973,28
47;F99-P-1171;8150674,09;677971,71
48;F99-P-1172;8150662,63;677962,54
49;F99-P-1173;8150644,92;677958,38
50;F99-P-1174;8150635,42;677947,18
51;F99-P-1175;8150619,01;677944,03
52;F99-P-1176;8150617,19;677934,32
53;F99-P-1177;8150613,74;677931,83
54;F99-P-1178;8150606,79;677924,15
55;F99-P-1179;8150605,34;677922,07
56;F99-P-1180;8150623,91;677904,96
57;F99-P-1181;8150622,07;677895,03
58;F99-P-1182;8150570,79;677892,04
59;F99-P-1183;8150574,50;677883,10
60;F99-P-1184;8150572,80;677879,92
61;F99-M-0233;8150572,05;677877,78
62;F99-M-0232;8150566,82;677868,95
63;F99-M-0231;8150509,92;677834,67
64;F99-M-0230;8150491,66;677810,11
65;F99-M-0225;8150486,27;677807,12
66;F99-M-0224;8150479,16;677805,94
67;F99-M-0223;8150350,79;677838,82
68;F99-M-0222;8150341,81;677835,85
69;F99-M-0221;8150338,69;677648,64
70;F99-M-0234;8150117,73;677635,09
71;F99-M-0235;8150066,16;677611,62
72;F99-M-0261;8149958,07;677623,24
73;F99-M-0262;8149947,46;677625,19
74;F99-M-0263;8149919,37;677623,15
75;F99-M-0236;8149685,51;677606,58
76;F99-M-0237;8149678,27;677610,00
77;F99-M-0238;8149675,78;677606,08
78;F99-M-0239;8149320,63;677580,26
79;F99-M-0240;8149154,22;677585,55
80;F99-M-0241;8149086,91;677569,26
81;F99-M-0242;8148988,33;677526,70
82;F99-M-0243;8148945,66;677499,61
83;F99-M-0244;8148900,56;677479,71
84;F99-M-0245;8148857,18;677444,87
85;F99-M-0246;8148849,90;677443,65
86;F99-M-0247;8148864,09;677264,71
87;F99-M-0248;8148862,19;677205,62
88;F99-M-0249;8148841,21;677106,83
89;F99-M-0250;8148833,13;676981,23
90;F99-M-0251;8148746,02;676888,17
91;F99-M-0252;8148670,41;676852,93
92;F99-M-0253;8148573,80;676837,09
93;F99-M-0254;8148563,84;676835,14
94;F99-M-0255;8148538,60;676820,76
95;F99-M-0256;8148523,49;676818,84
96;F99-M-0257;8148445,11;676819,54
97;F99-M-0258;8148385,84;676725,22
98;F99-M-0259;8148221,18;676625,36
99;F99-M-0260;8148118,54;676532,86
100;F99-M-0558;8148011,12;676493,35
101;F99-M-0559;8147994,88;676486,83
102;F99-M-0560;8147794,98;676482,14
103;F99-M-0561;8147777,80;676474,24
104;F99-M-0562;8147641,31;676417,50
105;F99-M-0563;8147636,95;676416,59
106;F99-M-0564;8147586,35;676433,00
107;F99-M-0565;8147576,32;676436,56
108;F99-M-0566;8147572,41;676377,21
109;F99-M-0567;8147572,77;676293,79
110;F99-M-0568;8147580,53;676238,73
111;F99-M-0569;8147572,81;676230,32
112;F99-M-0570;8147566,20;676235,45
113;F99-M-0571;8147549,14;676240,32
114;F99-P-1723;8147541,78;676234,43
115;F99-P-1185;8147537,48;676241,67
116;F99-P-1186;8147538,76;676243,94
117;F99-P-1187;8147538,32;676254,08
118;F99-P-1188;8147546,89;676261,51
119;F99-P-1189;8147548,15;676267,97
120;F99-P-1190;8147541,35;676271,57
121;F99-P-1191;8147517,47;676275,12
122;F99-P-1192;8147502,08;676289,24
123;F99-P-1193;8147490,23;676320,98
124;F99-P-1194;8147504,03;676329,59
125;F99-P-1195;8147481,44;676350,64
126;F99-P-1196;8147475,46;676358,42
127;F99-P-1197;8147477,17;676367,83
128;F99-P-1198;8147490,63;676369,40
129;F99-P-1199;8147508,30;676364,25
130;F99-P-1200;8147512,32;676367,41
131;F99-P-1201;8147511,24;676377,46
132;F99-P-1202;8147492,77;676385,36
133;F99-P-1203;8147479,32;676381,63
134;F99-P-1204;8147464,69;676386,41
135;F99-P-1205;8147460,41;676401,06
136;F99-P-1206;8147446,24;676399,35
137;F99-P-1207;8147423,85;676392,62
138;F99-P-1208;8147417,15;676400,14
139;F99-P-1209;8147420,99;676407,96
140;F99-P-1210;8147400,51;676421,08
141;F99-P-1211;8147371,12;676429,61
142;F99-P-1212;8147366,05;676441,58
143;F99-P-1213;8147320,97;676450,91
144;F99-P-1214;8147316,70;676460,35
145;F99-P-1215;8147301,16;676472,81
146;F99-M-0115;8147288,26;676477,17
